,Word,isNeologism
236,acompania,1
237,acompaniament,1
238,acompaniator,1
239,acondroplazie,1
240,aconit,1
241,aconitină,1
242,acont,1
30783,acoperi,0
243,acord,1
244,acorda,1
245,acordaj,1
246,acordeon,1
247,acordeonist,1
248,acordor,1
249,acorie,1
250,acosta,1
251,acostament,1
252,acotiledon,1
253,acotiledonat,1
254,acotiledonată,1
255,acraniat,1
256,acredita,1
257,acreditiv,1
258,acrescent,1
259,acribie,1
260,acribologie,1
261,acridină,1
262,acrilat,1
263,acrilic,1
264,acrimonie,1
265,acrimonios,1
266,acrobat,1
267,acrobatic,1
268,acrobatică,1
269,acrobație,1
270,acrocefal,1
271,acrocefalie,1
272,acrocianoză,1
273,acrofobie,1
274,acroleină,1
275,acrolit,1
276,acromanie,1
277,acromat,1
278,acromatic,1
279,acromatism,1
280,acromatiza,1
281,acromatopsie,1
282,acromegalie,1
283,acromicrie,1
284,acromie,1
285,acromion,1
286,acronic,1
287,acronim,1
288,acroparestezie,1
289,acropolă,1
290,acrospor,1
291,acrostih,1
292,acroteră,1
293,acroșa,1
294,acroșaj,1
30784,acru,0
295,act,1
296,acta,1
297,actant,1
298,actinic,1
299,actinid,1
300,actinie,1
301,actiniu,1
302,actinograf,1
303,actinografie,1
304,actinometric,1
305,actinometrie,1
306,actinometru,1
307,actinomicet,1
308,actinomicoză,1
309,actinomorf,1
310,actinon,1
311,actinopterigian,1
312,actinot,1
313,actinoterapie,1
314,activ,1
315,activa,1
316,activant,1
317,activism,1
318,activitate,1
319,actor,1
320,actual,1
321,actualism,1
322,actualitate,1
323,actualiza,1
324,actualmente,1
325,actuar,1
326,actuariat,1
327,actă,1
328,acuarelist,1
329,acuarelă,1
330,acuitate,1
331,aculeat,1
332,aculeată,1
333,aculeiform,1
334,aculeol,1
335,aculeu,1
336,acultura,1
337,aculturație,1
30785,acuma,0
338,acumbet,1
339,acumetru,1
340,acuminat,1
341,acumula,1
342,acumulativ,1
343,acumulație,1
344,acupla,1
345,acuplaj,1
346,acupresură,1
347,acupunctor,1
348,acupunctură,1
349,acurat,1
350,acuratețe,1
351,acustic,1
352,acustician,1
353,acustică,1
354,acut,1
355,acutiza,1
356,acuza,1
357,acuzabil,1
358,acuzativ,1
359,acuzator,1
360,acuzație,1
361,acvacultură,1
362,acvaforte,1
363,acvafortist,1
364,acvamarin,1
365,acvanaut,1
366,acvanautic,1
367,acvaplan,1
368,acvariu,1
369,acvatic,1
370,acvatintă,1
371,acvatubular,1
372,acvifer,1
373,acvilidă,1
374,acvilin,1
375,acvilon,1
376,acvilă,1
377,acvitanian,1
30786,acătării,0
30787,acău,0
378,acționa,1
379,acționar,1
380,acțiune,1
381,adactilie,1
382,adagietto,1
383,adagio,1
384,adagiu,1
30788,adaliu,0
30789,adamant,0
385,adamantin,1
386,adamantină,1
387,adamic,1
388,adamism,1
389,adamit,1
390,adamsită,1
391,adapta,1
392,adaptabil,1
393,adaptabilitate,1
394,adaptație,1
395,adaptor,1
396,addenda,1
397,adecvat,1
30790,ademană,0
30791,ademeni,0
398,adempțiune,1
399,adenină,1
400,adenită,1
401,adenocarcinom,1
402,adenofibrom,1
403,adenohipofiză,1
404,adenoid,1
405,adenoidită,1
406,adenom,1
407,adenopatie,1
408,adenotomie,1
409,adept,1
410,adera,1
411,aderent,1
412,aderență,1
413,adermină,1
30792,adevăr,0
414,adeziune,1
415,adeziv,1
416,adezivitate,1
30793,adia,0
417,adiabatic,1
418,adiabată,1
419,adiacent,1
420,adictiv,1
30794,adică,0
421,adicție,1
422,adinamie,1
30795,adineauri,0
30796,adins,0
30797,adinte,0
423,adio,1
424,adipic,1
425,adipogeneză,1
426,adipoliză,1
427,adipopexie,1
428,adipos,1
429,adipozitate,1
430,adipoză,1
431,adipsie,1
432,aditiv,1
433,aditon,1
434,adiție,1
435,adiționa,1
436,adițional,1
437,adițională,1
438,adjectiv,1
439,adjectival,1
440,adjoncțiune,1
441,adjudeca,1
442,adjudecatar,1
443,adjudecație,1
444,adjudecător,1
445,adjunct,1
446,adjurație,1
447,adjutant,1
448,adjuvant,1
449,administra,1
450,administrativ,1
451,administrator,1
452,administrație,1
453,admira,1
454,admirabil,1
455,admirativ,1
456,admirator,1
457,admirație,1
458,admisibil,1
459,admisibilitate,1
460,admisie,1
461,admisiune,1
462,admitanță,1
463,admite,1
464,admonesta,1
465,admonestatie,1
466,admonestație,1
467,admonitiv,1
468,admonițiune,1
469,adnat,1
470,adnota,1
471,adnotație,1
472,adogmatic,1
473,adogmatism,1
474,adolescent,1
475,adolescență,1
476,adonic,1
477,adonis,1
478,adopta,1
479,adoptiv,1
480,adopție,1
481,adora,1
482,adorabil,1
483,adorator,1
484,adorație,1
485,adragant,1
486,adrenalină,1
487,adrenalon,1
488,adrenergic,1
489,adrenocrom,1
490,adresa,1
491,adresă,1
492,adsorbant,1
493,adsorbat,1
494,adsorbi,1
495,adsorbție,1
496,adstrat,1
30798,aduce,0
497,aduct,1
498,aductor,1
499,aducție,1
500,adula,1
501,adular,1
502,adulator,1
503,adulație,1
30799,adulmeca,0
504,adult,1
505,adulter,1
506,adultera,1
507,adulterin,1
30800,adumbri,0
30801,aduna,0
508,adunc,1
509,advecție,1
510,advent,1
511,adventice,1
512,adventism,1
513,adventist,1
514,adventiv,1
515,adverbial,1
516,adverbializa,1
517,advers,1
518,adversar,1
519,adversativ,1
520,adversitate,1
521,advertising,1
30802,adânc,0
30803,adăpa,0
30804,adăpost,0
30805,adăsta,0
30806,adăuga,0
522,aed,1
30807,aer,0
523,aeraj,1
524,aerarium,1
525,aerator,1
526,aerație,1
527,aerian,1
528,aericol,1
529,aerifer,1
530,aeriform,1
30808,aerisi,0
531,aerob,1
532,aerobic,1
533,aerobiologie,1
534,aerobiotic,1
535,aerobioză,1
536,aerobuz,1
537,aerocartograf,1
538,aerocartografie,1
539,aeroclub,1
540,aerodinamic,1
541,aerodinamică,1
542,aerodină,1
543,aerodrom,1
544,aeroelastic,1
545,aeroelasticitate,1
546,aeroembolie,1
547,aerofagie,1
548,aerofilatelic,1
549,aerofilatelie,1
550,aerofobie,1
551,aerofor,1
552,aerofotografic,1
553,aerofotografie,1
554,aerofrână,1
555,aerogară,1
556,aerogastrie,1
557,aerogen,1
558,aerogenerator,1
559,aeroglisor,1
560,aerograf,1
561,aerografie,1
562,aerogramă,1
563,aerolit,1
564,aerolog,1
565,aerologic,1
566,aerologie,1
567,aeromecanică,1
568,aerometrie,1
569,aerometru,1
570,aeromodel,1
571,aeromodelism,1
572,aeromotor,1
573,aeronaut,1
574,aeronautic,1
575,aeronautică,1
576,aeronaval,1
577,aeroplan,1
578,aeroport,1
579,aeroportuar,1
580,aeropoștal,1
581,aeroreactor,1
582,aeroscop,1
583,aerosol,1
584,aerospațial,1
585,aerostat,1
586,aerostatic,1
587,aerostatică,1
588,aerostație,1
589,aerotactism,1
590,aerotehnică,1
591,aeroterapie,1
592,aerotermodinamică,1
593,aerotermă,1
594,aerotopograf,1
595,aerotransport,1
596,aerotriangulație,1
597,aerotropism,1
598,afabil,1
599,afabilitate,1
600,afabulație,1
601,afagie,1
30809,afalin,0
602,afanit,1
30810,afară,0
603,afazic,1
604,afazie,1
605,afebril,1
606,afecta,1
607,afectație,1
608,afectiv,1
609,afectivitate,1
610,afectuos,1
611,afectuozitate,1
612,afecționa,1
613,afecțiune,1
614,afeliu,1
615,afemeiat,1
616,afemie,1
617,aferat,1
618,aferent,1
619,aferentație,1
620,afereză,1
30811,aferim,0
621,afgan,1
622,afibrinogenemie,1
623,aficionado,1
624,afid,1
625,afidavit,1
626,afidă,1
30812,afierosi,0
30813,afif,0
627,afil,1
628,afilia,1
629,afiliație,1
630,afina,1
631,afinaj,1
632,afinitate,1
633,afinor,1
634,afirma,1
635,afirmativ,1
636,afirmație,1
637,afix,1
638,afixal,1
639,afixoid,1
640,afiș,1
641,afișa,1
642,afișabil,1
643,afișaj,1
644,afișetă,1
645,afișier,1
646,afișor,1
30814,afla,0
647,aflictiv,1
648,aflicțiune,1
649,aflogistic,1
650,afluent,1
651,afluență,1
652,aflux,1
653,afocal,1
654,afon,1
655,afonie,1
656,aforism,1
657,aforistic,1
658,afotic,1
659,afreta,1
660,africanist,1
661,africanitate,1
662,afro,1
663,afrodiziac,1
664,afrodizie,1
665,afront,1
666,afronta,1
667,afterpic,1
668,aftershave,1
669,aftoid,1
670,aftos,1
671,aftă,1
672,afurca,1
30815,afâna,0
30816,agabaniu,0
673,agalactie,1
30817,agale,0
674,agam,1
675,agamet,1
676,agamic,1
677,agamie,1
678,agapă,1
30818,agarean,0
679,agasa,1
680,agasant,1
681,agat,1
682,agatârși,1
683,agavă,1
30819,ageamiu,0
684,agendă,1
685,agenezie,1
686,agent,1
687,agenție,1
30820,ager,0
688,agerazie,1
30821,agest,0
689,agestru,1
690,ageuzie,1
30822,agheasmatar,0
30823,aghistin,0
30824,aghistină,0
691,agil,1
692,agilitate,1
693,agio,1
694,agiota,1
695,agiotaj,1
696,agiotor,1
697,agita,1
698,agitator,1
699,agitație,1
30825,aglică,0
700,aglomera,1
701,aglomerant,1
702,aglomerație,1
703,aglosie,1
704,aglutina,1
705,aglutinant,1
706,aglutinație,1
707,aglutinină,1
708,aglutinogen,1
709,agnat,1
710,agnată,1
711,agnațiune,1
30826,agneț,0
712,agnomen,1
713,agnostic,1
714,agnosticism,1
715,agnozie,1
716,agogică,1
717,agonal,1
718,agonie,1
30827,agonisi,0
719,agonist,1
720,agonistic,1
721,agoniza,1
722,agonizant,1
723,agonă,1
724,agora,1
725,agorafobie,1
726,agrafie,1
727,agrafă,1
728,agramat,1
729,agramatism,1
730,agranulocitoză,1
731,agrar,1
732,agrarian,1
733,agrava,1
734,agravant,1
735,agrea,1
736,agreabil,1
737,agreement,1
738,agrega,1
739,agregat,1
740,agregație,1
741,agrement,1
742,agrementa,1
743,agresiune,1
744,agresiv,1
745,agresivitate,1
746,agresor,1
747,agrest,1
748,agricol,1
749,agricultor,1
750,agricultură,1
751,agrimensor,1
752,agrimensură,1
753,agripnie,1
30828,agriș,0
754,agrocenoză,1
755,agrochimic,1
756,agrochimie,1
757,agrogeologic,1
758,agrogeologie,1
759,agrologie,1
760,agronom,1
761,agronomic,1
762,agronomie,1
30829,agru,0
30830,agudă,0
30831,agura,0
30832,aguridă,0
30833,agust,0
30834,agă,0
30835,agărlâc,0
763,aheean,1
30836,aht,0
30837,ai,0
30838,aia,0
30839,aici,0
30840,aidoma,0
30841,aiepta,0
30842,aiest,0
30843,aievea,0
30844,ainde,0
764,airbag,1
765,aisberg,1
766,aisfild,1
30845,aiurea,0
767,aiurit,1
30846,ajun,0
30847,ajuna,0
30848,ajunge,0
768,ajur,1
769,ajusta,1
770,ajustabilitate,1
771,ajustaj,1
772,ajustor,1
30849,ajuta,0
773,ajutaj,1
30850,ajutor,0
30851,al,0
774,alabandină,1
775,alabastru,1
30852,alagea,0
30853,alai,0
776,alalie,1
777,alambic,1
778,alambica,1
30854,alamă,0
30855,alandala,0
779,alanină,1
780,alantoidă,1
781,alantoină,1
782,alarma,1
783,alarmant,1
784,alarmist,1
785,alarmă,1
30856,alb,0
30857,alba,0
786,albanez,1
787,albaspină,1
30858,albastru,0
788,albatros,1
30859,albeață,0
789,albedo,1
790,albedometru,1
791,albescență,1
30860,albi,0
792,albian,1
30861,albiaș,0
30862,albie,0
793,albinism,1
794,albinoidism,1
795,albinos,1
30863,albină,0
30864,albioară,0
796,albitizare,1
30865,alboare,0
797,album,1
798,albumen,1
799,albuminemie,1
800,albuminoid,1
801,albuminos,1
802,albuminuric,1
803,albuminurie,1
804,albumină,1
805,albumozurie,1
806,albumoză,1
807,alburn,1
808,alcaic,1
809,alcaliceluloză,1
810,alcalimetric,1
811,alcalimetrie,1
812,alcalimetru,1
813,alcalin,1
814,alcalinitate,1
815,alcaliniza,1
816,alcaliu,1
817,alcaloid,1
818,alcaloidic,1
819,alcaloză,1
30866,alcam,0
820,alcan,1
821,alchenă,1
822,alchil,1
823,alchimic,1
824,alchimie,1
825,alchimist,1
826,alcion,1
827,alcool,1
828,alcoolat,1
829,alcoolemie,1
830,alcoolic,1
831,alcoolism,1
832,alcooliza,1
833,alcoolizabil,1
834,alcoolmetrie,1
835,alcoolomanie,1
836,alcoolometrie,1
837,alcov,1
838,alcoxid,1
30867,alcătui,0
30868,aldan,0
30869,aldaș,0
839,aldehidă,1
840,aldin,1
841,aldol,1
842,aldosteron,1
843,aldoză,1
30870,aldămaș,0
30871,alea,0
30872,alean,0
844,aleatorism,1
845,aleatoriu,1
846,alee,1
847,alegație,1
30873,alege,0
848,alegoric,1
849,alegorie,1
850,alegorism,1
851,alegoriza,1
852,alegrețe,1
853,alegru,1
30874,alegădui,0
854,alelism,1
855,alelomorf,1
856,alelomorfism,1
857,alelopatie,1
30875,aleluia,0
858,alelă,1
30876,alem,0
859,alemandă,1
860,alemanic,1
861,alenă,1
30877,alenșig,0
30878,alerga,0
862,alergen,1
863,alergic,1
864,alergie,1
865,alergologic,1
866,alergologie,1
867,alert,1
868,alerta,1
869,alertă,1
30879,alesidă,0
870,aleurit,1
871,aleurolit,1
872,aleurometru,1
873,aleuronat,1
874,aleuronic,1
875,aleuronă,1
876,alevin,1
877,alevinaj,1
878,alexandrin,1
879,alexandrinism,1
880,alexandrit,1
881,alexie,1
882,alexină,1
883,alezaj,1
884,alezor,1
885,alfabet,1
886,alfabetic,1
887,alfanumeric,1
888,alfatron,1
889,algebric,1
890,algebrist,1
891,algebră,1
892,algerian,1
893,algid,1
894,algiditate,1
895,algie,1
896,algină,1
897,algofobie,1
898,algogen,1
899,algolog,1
900,algologic,1
901,algologie,1
902,algomanie,1
903,algoritm,1
904,algoritmic,1
905,algrafie,1
906,algă,1
907,alia,1
908,aliaj,1
909,alianță,1
910,alias,1
911,alibi,1
912,alicotă,1
30880,alică,0
913,alidadă,1
914,aliena,1
915,alienabil,1
916,alienabilitate,1
917,alienat,1
918,alienație,1
919,alienist,1
30881,alifie,0
920,aligator,1
921,aligote,1
922,aliment,1
923,alimenta,1
924,alimentar,1
925,alimentator,1
926,alimentație,1
30882,alimon,0
30883,alina,0
927,alineat,1
928,aliniament,1
30884,alinta,0
30885,alior,0
30886,alipui,0
929,aliterativ,1
930,aliterație,1
30887,alivancă,0
931,alivant,1
932,alizarină,1
933,alizeu,1
30888,alișveriș,0
934,allargando,1
935,allegretto,1
936,allegro,1
937,allemandă,1
938,almageste,1
939,almanah,1
940,almandin,1
941,almee,1
942,almicantara,1
30889,almojnă,0
30890,alnic,0
943,alo,1
944,alocație,1
945,alocromatism,1
946,alocuțiune,1
947,alodial,1
948,alodiu,1
949,aloe,1
950,alofon,1
951,alogam,1
952,alogamie,1
953,alogamă,1
954,alogen,1
955,alogenetic,1
956,alogic,1
957,alohton,1
30891,alomaș,0
958,alonjă,1
959,alopat,1
960,alopatic,1
961,alopatie,1
962,alopecie,1
963,alotropic,1
964,alotropie,1
965,aloxan,1
966,alozom,1
967,alpaca,1
968,alpenștoc,1
969,alpestru,1
970,alpic,1
971,alpin,1
972,alpinism,1
973,alpinist,1
974,alsacian,1
30892,alt,0
975,altaic,1
30893,altar,0
976,altera,1
977,alterabil,1
978,alterabilitate,1
979,alterație,1
980,altercație,1
981,alteritate,1
982,altern,1
983,alterna,1
984,alternant,1
985,alternanță,1
986,alternativ,1
987,alternativă,1
988,alternator,1
989,alteță,1
990,altigraf,1
991,altimetric,1
992,altimetrie,1
993,altimetru,1
994,altist,1
995,altitudinal,1
996,altitudine,1
997,altocumulus,1
998,altogravură,1
30894,altoi,0
999,altostratus,1
1000,altruism,1
1001,altruist,1
30895,altângic,0
30896,aluat,0
1002,aluminifer,1
1003,aluminiu,1
1004,aluminos,1
1005,aluminotermie,1
1006,alumină,1
1007,alumosilicat,1
30897,aluneca,0
30898,alunga,0
1008,alungi,1
1009,alunit,1
30899,alună,0
30900,alurghidă,0
1010,alură,1
1011,aluvial,1
1012,aluvionar,1
1013,aluviu,1
1014,aluviune,1
1015,aluzie,1
1016,aluziv,1
1017,alveograf,1
1018,alveolar,1
1019,alveolară,1
1020,alveolat,1
1021,alveolectomie,1
1022,alveolită,1
1023,alveoliză,1
1024,alveolotomie,1
1025,alveolă,1
1026,alvin,1
30901,alămojnă,0
30902,alături,0
30903,am,0
1027,amabil,1
1028,amabilitate,1
1029,amalgam,1
1030,amalgama,1
1031,amalgamator,1
1032,amalgamor,1
30904,aman,0
30905,amandea,0
1033,amandină,1
30906,amanet,0
1034,amant,1
30907,amar,0
1035,amara,1
1036,amaraj,1
1037,amarant,1
1038,amarantacee,1
1039,amarantă,1
1040,amarilidacee,1
1041,amarilis,1
1042,amară,1
1043,amastie,1
1044,amator,1
1045,amaurotic,1
1046,amauroză,1
1047,amaxofobie,1
1048,amazoană,1
1049,amazonit,1
1050,ambala,1
1051,ambalaj,1
1052,ambarcader,1
1053,ambarcație,1
1054,ambasador,1
1055,ambasadă,1
1056,ambeta,1
1057,ambetant,1
1058,ambiant,1
1059,ambianță,1
1060,ambidextrie,1
1061,ambidextru,1
1062,ambient,1
1063,ambiental,1
1064,ambiguitate,1
1065,ambiguu,1
1066,ambii,1
1067,ambiofonie,1
1068,ambitus,1
1069,ambivalent,1
1070,ambivalență,1
1071,ambiție,1
1072,ambiționa,1
1073,ambițios,1
1074,ambliop,1
1075,ambliopie,1
1076,amblistoma,1
1077,amblistomă,1
1078,ambranșament,1
1079,ambrazură,1
1080,ambreia,1
1081,ambreiaj,1
1082,ambroziac,1
1083,ambrozie,1
1084,ambră,1
1085,ambulacrar,1
1086,ambulacru,1
1087,ambulant,1
1088,ambulanță,1
1089,ambulatoriu,1
1090,ambuscadă,1
1091,ambuscat,1
1092,ambuteia,1
1093,ambuteiaj,1
1094,ambușură,1
30908,amelie,0
1095,ameliora,1
1096,ameliorabil,1
1097,ameliorant,1
1098,ameliorativ,1
1099,ameliorație,1
1100,amenaja,1
1101,amenajabil,1
1102,amenajament,1
1103,amenda,1
1104,amendabil,1
1105,amendament,1
1106,amendă,1
1107,amenitate,1
1108,amenoree,1
1109,ament,1
1110,americanism,1
1111,americanist,1
1112,americaniza,1
1113,americiu,1
1114,amerindian,1
1115,ameriza,1
1116,amerizaj,1
1117,amerloc,1
30909,amesteca,0
1118,ametabol,1
1119,ametist,1
1120,ametrop,1
1121,ametropie,1
30910,ameți,0
1122,amfetamină,1
1123,amfiartroză,1
1124,amfibian,1
1125,amfibiu,1
1126,amfibol,1
1127,amfibolie,1
1128,amfibolit,1
1129,amfibologic,1
1130,amfibologie,1
1131,amfibrah,1
1132,amfibrahic,1
1133,amficțion,1
1134,amficționie,1
1135,amfidromic,1
1136,amfigonie,1
1137,amfiguric,1
1138,amfimacru,1
1139,amfimixie,1
1140,amfiox,1
1141,amfipod,1
1142,amfiprostil,1
1143,amfiteatru,1
1144,amfiteriu,1
1145,amfitrion,1
1146,amforă,1
1147,amfoter,1
1148,amfotonie,1
1149,amiabil,1
1150,amiantă,1
30911,amiază,0
1151,amibă,1
1152,amic,1
1153,amicabil,1
1154,amical,1
1155,amiciție,1
1156,amică,1
1157,amidază,1
1158,amidină,1
1159,amidol,1
1160,amidon,1
1161,amidonerie,1
1162,amidopirină,1
1163,amidură,1
1164,amidă,1
1165,amielinic,1
1166,amigdalectomie,1
1167,amigdalian,1
1168,amigdalită,1
1169,amigdaloid,1
1170,amigdală,1
1171,amil,1
1172,amilaceu,1
1173,amilază,1
1174,amilic,1
1175,amilodextrină,1
1176,amilograf,1
1177,amilogramă,1
1178,amiloidoză,1
1179,amilopectină,1
1180,amiloză,1
1181,amimie,1
30912,amin,0
1182,aminare,1
1183,amino,1
1184,aminoacid,1
1185,aminoacidemie,1
1186,aminoacidurie,1
1187,aminoalcool,1
1188,aminobenzen,1
1189,aminobenzoic,1
1190,aminoplast,1
1191,amină,1
1192,amiotrofie,1
1193,amiral,1
1194,amitoză,1
30913,amnar,0
1195,amnezic,1
1196,amnezie,1
1197,amnios,1
1198,amniot,1
1199,amniotic,1
1200,amniotă,1
1201,amnistia,1
1202,amnistiabil,1
1203,amnistie,1
1204,amoc,1
1205,amoniac,1
1206,amoniacal,1
1207,amoniat,1
1208,amonit,1
1209,amoniu,1
1210,amoniurie,1
1211,amonte,1
1212,amor,1
1213,amoral,1
1214,amoralism,1
1215,amoralist,1
1216,amoralitate,1
1217,amorf,1
1218,amoroso,1
1219,amorsă,1
1220,amortisment,1
1221,amortiza,1
1222,amortizabil,1
1223,amortizor,1
1224,amovibil,1
1225,amovibilitate,1
1226,ampatament,1
1227,ampelidacee,1
1228,ampelograf,1
1229,ampelografic,1
1230,ampelografie,1
1231,ampenaj,1
1232,amper,1
1233,amperaj,1
1234,ampermetru,1
1235,ampicilină,1
1236,amplasament,1
1237,amplectiv,1
1238,amplexicaul,1
1239,amplexiune,1
1240,amplifica,1
1241,amplificator,1
1242,amplificație,1
1243,amplitudine,1
1244,amploare,1
1245,amploiat,1
1246,amplu,1
1247,ampolozitate,1
1248,amprentologie,1
1249,amprentă,1
1250,ampriză,1
1251,ampulă,1
1252,amputa,1
1253,amputație,1
1254,amuletă,1
1255,amuza,1
1256,amuzament,1
1257,amuzant,1
1258,amuzie,1
30914,amuți,0
30915,amvon,0
30916,amândoi,0
30917,amărî,0
30918,an,0
1259,anabaptism,1
1260,anabaptist,1
1261,anabatic,1
1262,anabioză,1
1263,anabolism,1
1264,anacard,1
1265,anacardier,1
1266,anaciclic,1
1267,anaciditate,1
1268,anacolut,1
1269,anaconda,1
1270,anacreontic,1
1271,anacronic,1
1272,anacronism,1
1273,anacruză,1
1274,anacuzie,1
1275,anadiploză,1
1276,anadipsie,1
1277,anaerob,1
1278,anaerobiotic,1
1279,anaerobioză,1
1280,anafază,1
1281,anafilactic,1
1282,anafilaxie,1
30919,anafor,0
30920,anafora,0
1283,anaforeză,1
1284,anaforic,1
1285,anaforă,1
1286,anafrodit,1
1287,anafrodiziac,1
1288,anafrodizie,1
30921,anafură,0
1289,anageneză,1
1290,anaglifă,1
1291,anagliptic,1
1292,anagnost,1
1293,anagogic,1
1294,anagogie,1
1295,anagramatic,1
1296,anagramă,1
1297,anahoret,1
1298,anahoretic,1
1299,anal,1
1300,anale,1
1301,analecte,1
1302,analepsie,1
1303,analeptic,1
1304,analfabet,1
1305,analfabetism,1
1306,analgeziant,1
1307,analgezic,1
1308,analgezie,1
1309,analgezină,1
1310,analist,1
1311,analitic,1
1312,analiza,1
1313,analizabil,1
1314,analizor,1
1315,analiză,1
1316,analog,1
30922,analoghie,0
1317,analogic,1
1318,analogie,1
1319,analogism,1
1320,anamneză,1
1321,anamniote,1
1322,anamniotă,1
1323,anamorfozat,1
1324,anamorfoză,1
1325,ananas,1
1326,anandru,1
30923,ananghie,0
1327,anapest,1
1328,anapestic,1
1329,anaplastic,1
1330,anaplastie,1
30924,anapoda,0
1331,anaptixă,1
1332,anarhic,1
1333,anarhie,1
1334,anarhism,1
1335,anarhist,1
1336,anarhosindicalism,1
